100:01;A2r['  ]| <div2>Enter Chorus.
001:01;A3v[D  ]| Go forward Faustus in$4$ that$6#2$ famous Art&H0; 
001:01;A3v[D  ]| Wherein all natures treasure is contain'd:  
001:01;A3v[D  ]| Be thou on$4$ earth as Ioue is in$4$ the skye, 
001:01;A3v[D  ]| Lord and Commander of these elements:  
001:01;A3v['  ]| Exeunt An. 
001:01;A3v[A  ]| How am I glutted with conceipt of this?  
001:01;A3v[A  ]| Shall I make spirits fetch me what I please?  
001:01;A3v[A  ]| Resolue me of all ambiguities?  
001:01;A3v[A  ]| Performe what desperate enterprise I will$1$?  
001:01;A3v[A  ]| I will$1$ have them flie to$4$ Indian for$4$ gold; 
001:01;A3v[A  ]| Ransacke the Ocean for$4$ Orient Pearle, 
001:01;A3v[A  ]| And search all corners of the new-found-world 
001:01;A3v[A  ]| For$4$ pleasant fruites, and Princely delicates.  
001:01;A3v[A  ]| I will$1$ have them read me strange Philosophy, 
001:01;A3v[A  ]| And tell the secrets of all forraine Kings:  
001:01;A3v[A  ]| I will$1$ have them wall all Germany with Brasse, 
001:01;A3v[A  ]| And make swift Rhine, circle fair Wittenberge:  
001:01;A3v[A  ]| I will$1$ have them fill the publique Schooles with skill, 
001:01;A3v[A  ]| Wherewith the Students shall be brauely clad.  
001:01;A3v[A  ]| I will$1$ leauy souldiers with the coyne they bring, 
001:01;A3v[A  ]| And chase the Prince of Parma from our$6#2$ Land, 
001:01;A3v[A  ]| And raigne sole King of all the Prouinces.  
001:01;A3v[A  ]| Yea stranger engines for$4$ the brunt of warre, 
001:01;A3v[A  ]| Than was the fiery keele at Anwerpe bridge, 
001:01;A3v[A  ]| I will$1$ make my seruile spirits to$9$ inuent.  
001:01;A3v[A  ]| Come Germane Valdes and Cornelius, 
001:01;A3v[A  ]| And make me blest with your sage conference.  
001:01;A3v['  ]| Enter Valdes and Cornelius. 
001:01;A3v[A  ]| Valdes, sweete Valdes and Cornelius, 
001:01;A3v[A  ]| Know that$3$ your words have won me at the last.  
001:01;A3v[A  ]| To$9$ practise Magicke and concealed Arts.  
001:01;A3v[A  ]| Philosophy is odious and obscure:  
001:01;A3v[A  ]| Both Law and Physicke are for$4$ petty wits, 
001:01;A3v[A  ]| It is magick, magick, that$6#1$ hath rauisht me.  
001:01;A3v[A  ]| Then gentle friends aid me in$4$ this attempt, 
001:01;A3v[A  ]| And I, that$6#1$ have with subtle Sillogismes 
001:01;A3v[A  ]| Grauel'd the Pastors of the Germane Church, 
001:01;A3v[A  ]| And made the flowring pride of Wittenberg 
001:01;A3v[A  ]| Sworne to$4$ my Probelemes, as the infernall spirits 
001:01;A4r[A  ]| On$4$ sweet Musa*eus when he came to$4$ hell, 
001:01;A4r[A  ]| Will$1$ be as cunning as Agrippa was, 
001:01;A4r[A  ]| Whose shadow made all Europe honour him.  
001:01;A4r[E  ]| Faustus, these bookes, thy wit, and our$6#2$ experience, 
001:01;A4r[E  ]| shall make all Nations to$9$ Canonize us$6#2$, 
001:01;A4r[E  ]| As Indian Moores, obey their Spanish Lords:  
001:01;A4r[E  ]| So$5#2$ shall the spirits of <reg orig="euery">every</reg> element, 
001:01;A4r[E  ]| Be <reg orig="alwaies">always</reg> seruiceable to$4$ us$6#2$ three:  
001:01;A4r[E  ]| Like$4$ Lyons shall they guard us$6#2$ when we$6#2$ please, 
001:01;A4r[E  ]| Like$4$ Almaine Rutters with their horsemens staues, 
001:01;A4r[E  ]| Or Lopland Giants trotting by$4$ our$6#2$ sides, 
001:01;A4r[E  ]| Sometimes like$4$ women or vnwedded Maides:  
001:01;A4r[E  ]| Shadowing more beauty in$4$ their Airie browes, 
001:01;A4r[E  ]| Than has the white breasts of the Queene of love.  
001:01;A4r[E  ]| From Venice shall they drag huge Argosies, 
001:01;A4r[E  ]| And from America the Golden Fleece, 
001:01;A4r[E  ]| That$6#1$ yearely stuff'd old Phillips treasury, 
001:01;A4r[E  ]| If learned Faustus will$1$ be resolute.  
001:01;A4r[A  ]| Valdes, as resolute am I in$4$ this, 
001:01;A4r[A  ]| As thou to$9$ live, therefore obiect it not.  
001:01;A4r[H  ]| The miracles that$6#1$ magick will$1$ performe, 
001:01;A4r[H  ]| Will$1$ make thee vow to$9$ study nothing else.  
001:01;A4r[H  ]| He that$6#1$ is grounded in$4$ Astrology, 
001:01;A4r[H  ]| Inricht with tongues, well seene in$4$ Minerals, 
001:01;A4r[H  ]| Hath all the Principles Magick doth require:  
001:01;A4r[H  ]| Then doubt not Faustus but to$9$ be renowm'd, 
001:01;A4r[H  ]| And more frequented for$4$ this mysterie, 
001:01;A4r[H  ]| Than heeretofore the Delphian Oracle.  
001:01;A4r[H  ]| The spirits tell me they can dry the sea, 
001:01;A4r[H  ]| And fetch the treasure of all forraine wrackes:  
001:01;A4r[H  ]| Yea all the wealth that$6#1$ our$6#2$ fore-fathers hid, 
001:01;A4r[H  ]| Within the massy entrailes of the earth:  
001:01;A4r[H  ]| Then tell me Faustus what shall we$6#2$ three want?  
001:01;A4r[A  ]| Nothing Cornelius; O this cheeres my soule:  
001:01;A4r[A  ]| Come, shew me some demonstrations Magicall, 
001:01;A4r[A  ]| That$3$ I may coniure in$4$ some bushy Groue, 
001:01;A4r[A  ]| And have these ioies in$4$ full possession.  
001:01;A4r[E  ]| Then haste thee to$4$ some solitary Groue, 
001:01;A4v[E  ]| And beare wise Bacons, and Albanus workes, 
001:01;A4v[E  ]| The Hebrew Psalter, and new Testament; 
001:01;A4v[E  ]| And <reg orig="whatsoeuer">whatsoever</reg> else is requisite, 
001:01;A4v[E  ]| We$6#2$ will$1$ informe thee <reg orig="e're">ere</reg> our$6#2$ conference cease.  
001:01;A4v[H  ]| Valdes, first let him know the words of Art&H0;, 
001:01;A4v[H  ]| And then all other ceremonies learn'd, 
001:01;A4v[H  ]| Faustus may try his cunning by$4$ himself.  
001:01;A4v[E  ]| First I will$1$ instruct thee in$4$ the rudiments, 
001:01;A4v[E  ]| And then wilt thou be perfecter than I.  
001:01;A4v[A  ]| Then come and dine with me, and after meate 
001:01;A4v[A  ]| We$6#2$ will$1$ canuase <reg orig="euery">every</reg> quidditie thereof:  
001:01;A4v[A  ]| For$3$ <reg orig="e're">ere</reg> I sleep, I will$1$ try what I can do:  
001:01;A4v[A  ]| This night I will$1$ coniure though I die therefore.  
001:02;A4v['  ]| Exeunt om. </div2>
001:02;A4v['  ]| <div2>Enter two Schollers. 
001:02;A4v[I  ]| I wonder what is become of Faustus that$6#1$ was wont 
001:02;A4v[I  ]| To$9$ make our$6#2$ schooles ring, with <foreign>7sic 7probo</foreign>.  
001:02;A4v['  ]| Enter Wag. 
001:02;A4v[J  ]| That$6#2$ shall we$6#2$ presently know, here comes his boy.  
001:02;A4v[I  ]| How now sirra, where is thy Maister?  
001:02;A4v[B  ]| God in$4$ heaven knowes.  
001:02;A4v[J  ]| Why dost not thou know then!  
001:02;A4v[B  ]| Yes, I know, but that$6#2$ followes not.  
001:02;A4v[I  ]| Go to$5$ sirra, leaue your iesting, and tell us$6#2$ where he is.  
001:02;A4v[B  ]| That$6#2$ followes not by$4$ force of argument, which$6#1$  
001:02;A4v[B  ]| you, being Licentiats, should stand upon$5$, therefore 
001:02;A4v[B  ]| acknowledge your errour, and be attentiue.  
001:02;A4v[J  ]| Then you will$1$ not tell us$6#2$?  
001:02;A4v[B  ]| You are deceiu'd, for$3$ I will$1$ tell you:  yet if you  
001:02;A4v[B  ]| were not dunces, you would <reg orig="neuer">never</reg> aske me such a question:  
001:02;A4v[B  ]| For$3$ is he not <foreign>7Corpus 7naturale</foreign>?  and is not that$6#2$ 7Mobile?  Then  
001:02;A4v[B  ]| wherefore should you aske me such a question?  But that$3$ I  
001:02;A4v[B  ]| am by$4$ nature flegmatique, slow to$4$ wrath, and prone to$4$ letcherie  
001:02;A4v[B  ]| (to$4$ love I would say) it were not for$4$ you to$9$ come within fortie  
001:02;A4v[B  ]| foot of the place of execution, although I do not doubt but  
001:02;A4v[B  ]| to$9$ see you both hangd'd the next Sessions.  Thus having triumpht  
001:02;A4v[B  ]| over you, I will$1$ set my countenance like$4$ a Precisian,  
001:02;A4v[B  ]| and begin to$9$ speak thus:  Truely my deere brethren, my Mr%
001:02;B1r[B  ]| is within at dinner, with Valdes and Cornelius, as this wine,  
001:02;B1r[B  ]| if it could speak, would informe your Worships:  and so$3$  
001:02;B1r[B  ]| the Lord blesse you, preserue you, and keepe you, my deere  
001:02;B1r[B  ]| brethren.  
001:02;B1r['  ]| Exit. 
001:02;B1r[I  ]| O Faustus, then I feare that$6#2$ which$6#1$ I have long suspected:  
001:02;B1r[I  ]| That$3$ thou art falne into that$6#2$ damned Art&H0; 
001:02;B1r[I  ]| For$4$ which$6#1$ they two are infamous through the world.  
001:02;B1r[J  ]| Where he a stranger, not allyed to$4$ me, 
001:02;B1r[J  ]| The danger of his soule would make me mourne:  
001:02;B1r[J  ]| But come, let us$6#2$ go, and informe the Rector; 
001:02;B1r[J  ]| It may be his graue counsell may reclaime him.  
001:02;B1r[I  ]| I feare me, nothing will$1$ reclaime him now.  
001:02;B1r[J  ]| Yet let us$6#2$ see what we$6#2$ can do.  
001:02;B1r['  ]| Exeunt. </div2>
001:03;B1r['  ]| <div2>Thunder.  Enter Lucifer and 4 deuils, Faustus to$4$ them  
001:03;B1r['  ]| with this speech. 
001:03;B1r[A  ]| Now that$3$ the gloomy shadow of the night, 
001:03;B1r[A  ]| Longing to$9$ view Orions drisling look, 
001:03;B1r[A  ]| leapes from the Antarticke world unto the skie, 
001:03;B1r[A  ]| And dyms the Welkin, with her$2$ pitchy breathe:  
001:03;B1r[A  ]| Faustus, begin thine Incantations, 
001:03;B1r[A  ]| And try if deuils will$1$ obey thy Hest, 
001:03;B1r[A  ]| Seeing thou hast pray'd and sacrific'd to$4$ them.  
001:03;B1r[A  ]| Within this circle is Iehoua's Name, 
001:03;B1r[A  ]| Forward and backward, Anagramatis'd:  
001:03;B1r[A  ]| The abreuiated names of holy Saints, 
001:03;B1r[A  ]| Figures of <reg orig="euery">every</reg> adiunct to$4$ the heauens, 
001:03;B1r[A  ]| And Characters of Signes, and euening Starres, 
001:03;B1r[A  ]| By$4$ which$6#1$ the spirits are inforc'd to$9$ rise:  
001:03;B1r[A  ]| Then feare not Faustus to$9$ be resolute 
001:03;B1r[A  ]| And try the vtmost Magicke can performe.  
001:03;B1r['  ]| Thunder.
001:03;B1r[A  ]| <foreign> 7 Sint 7mihi 7Dij 7Acherontis 7propitij, 7valeat 7numen 7triplex </foreign>
001:03;B1r[A  ]| <foreign>7Iehoua*e, 7ignei 7Aerij, 7Aquatani 7spiritus 7saluete:  7Orientis  </foreign>
001:03;B1r[A  ]| <foreign>7Princeps 7Belzebub, 7inferni 7ardentis 7monarcha 7& 7demigorgon,</foreign>
001:03;B1r[A  ]| <foreign>7propitiamus 7vos, 7vt 7appareat, 7& 7surgat Mephostophilis </foreign>
001:03;B1r[A  ]| <foreign>7Dragon, 7quo 7tumeraris; 7per 7Iehouam, 7gehennan, 7& 7consecratam </foreign>
001:03;B1v[A  ]| <foreign>7aquam, 7quam 7nunc 7spargo; 7signumq=; 7crucis 7quod  </foreign>
001:03;B1v[A  ]| <foreign>7nunc 7facio; 7& 7per 7vota 7nostra 7ipse 7nunc 7surgat 7nobis 7dicatis </foreign>
001:03;B1v[A  ]| Mephostophilis. 
001:03;B1v['  ]| Enter a Deuill. 
001:03;B1v[A  ]| I charge thee to$9$ returne, and change thy shape, 
001:03;B1v[A  ]| Thou art too vgly to$9$ attend on$4$ me:  
001:03;B1v[A  ]| Go and returne an old Franciscan Frier, 
001:03;B1v[A  ]| That$6#2$ holy shape becomes a deuill best.  
001:03;B1v['  ]| Exit deuill. 
001:03;B1v[A  ]| I see there is vertue in$4$ my heauenly words.  
001:03;B1v[A  ]| Who$6#2$ would not be proficient in$4$ this Art&H0;?  
001:03;B1v[A  ]| How pliant is this Mephostophilis?  
001:03;B1v[A  ]| Full of obedience and humility, 
001:03;B1v[A  ]| Such is the force of Magicke, and my spels.  
001:03;B1v['  ]| Enter Mephostophilis. 
001:03;B1v[F  ]| Now Faustus what wouldst thou have me do?  
001:03;B1v[A  ]| I charge thee waite upon$4$ me whilst I live 
001:03;B1v[A  ]| To$9$ do <reg orig="what euer">whatever</reg> Faustus shall command:  
001:03;B1v[A  ]| Be it to$9$ make the Moone drop from her$2$ Sphere, 
001:03;B1v[A  ]| Or the Ocean to$9$ ouerwelme the world.  
001:03;B1v[F  ]| I am a seruant to$4$ great Lucifer, 
001:03;B1v[F  ]| And may not follow thee without his leaue; 
001:03;B1v[F  ]| No$2$ more than he commands, must we$6#2$ performe.  
001:03;B1v[A  ]| Did not he charge thee to$9$ appeare to$4$ me?  
001:03;B1v[F  ]| No$7$, I came now hether of mine <reg orig="owne">own</reg> accord.  
001:03;B1v[A  ]| Did not my coniuring raise thee?  speak.  
001:03;B1v[F  ]| That$6#2$ was the cause, but yet <foreign>7per 7accident</foreign>:  
001:03;B1v[F  ]| For$3$ when we$6#2$ hear one racke the name of God, 
001:03;B1v[F  ]| Abiure the Scriptures, and his Sauiour Christ:  
001:03;B1v[F  ]| We$6#2$ flye in$4$ hope to$9$ get his glorious Soule; 
001:03;B1v[F  ]| Nor will$1$ we$6#2$ come vnlesse he vse such meanes, 
001:03;B1v[F  ]| Whereby he is in$4$ danger to$9$ be damn'd:  
001:03;B1v[F  ]| Therefore the shortest cut for$4$ coniuring 
001:03;B1v[F  ]| It stoutly to$9$ abiure all godlinesse, 
001:03;B1v[F  ]| And pray deuoutely to$4$ the Prince of hell.  
001:03;B1v[A  ]| So$5#2$ Faustus hath already done, and holds this principle, 
001:03;B1v[A  ]| There is no$2$ chiefe but onely Beelzebub:  
001:03;B2r[A  ]| To$4$ whom Faustus doth dedicate himself.  
001:03;B2r[A  ]| This word Damnation, terrifies not me, 
001:03;B2r[A  ]| For$3$ I confound hell in$4$ Elizium:  
001:03;B2r[A  ]| My Ghost be with the old Phylosophers.  
001:03;B2r[A  ]| But leauing these vaine trifles of mens soules, 
001:03;B2r[A  ]| Tell me, what is that$6#2$ Lucifer, thy Lord?  
001:03;B2r[F  ]| Arch-regent and Commander of all Spirits.  
001:03;B2r[A  ]| Was not that$6#2$ Lucifer an Angell once?  
001:03;B2r[F  ]| Yes Faustus, and most deerely lou'd of God.  
001:03;B2r[A  ]| How comes it then that$3$ he is Prince of Deuils?  
001:03;B2r[F  ]| O:  by$4$ aspiring pride and insolence, 
001:03;B2r[F  ]| For$4$ which$6#1$ God threw him from the face of heauen.  
001:03;B2r[A  ]| And what are you that$6#1$ live with Lucifer?  
001:03;B2r[F  ]| Vnhappy spirits that$6#1$ live with Lucifer, 
001:03;B2r[F  ]| Conspir'd against our$6#2$ God with Lucifer, 
001:03;B2r[F  ]| And are <reg orig="for euer">forever</reg> damn'd with Lucifer.  
001:03;B2r[A  ]| Where are you damn'd?  
001:03;B2r[F  ]| In$4$ hell.  
001:03;B2r[A  ]| How comes it then that$3$ thou are out of hell?  
001:03;B2r[F  ]| Why this is hell:  nor am I out of it.  
001:03;B2r[F  ]| Think'st thou that$3$ I that$6#1$ saw the face of God, 
001:03;B2r[F  ]| And tasted the eternall Ioyes of heauen, 
001:03;B2r[F  ]| Am not tormented with ten thousand hels, 
001:03;B2r[F  ]| In$4$ being depriu'd of euerlasting blisse?  
001:03;B2r[F  ]| O Faustus leaue these friuolous demandes, 
001:03;B2r[F  ]| Which$6#1$ strikes a terror to$4$ my fainting soule.  
001:03;B2r[A  ]| What is great Mephostophilis so$5#1$ passionate 
001:03;B2r[A  ]| For$4$ being depriued of the Ioyes of heauen?  
001:03;B2r[A  ]| Learne thou of Faustus manly fortitude, 
001:03;B2r[A  ]| And scorne those Ioyes thou <reg orig="neuer">never</reg> shalt possesse.  
001:03;B2r[A  ]| Go beare these tydings to$4$ great Lucifer, 
001:03;B2r[A  ]| Seeing Faustus hath incur'd eternall death, 
001:03;B2r[A  ]| By$4$ desperate thoughts against Ioues Deity:  
001:03;B2r[A  ]| Say he surrenders up$5$ to$4$ him his soule, 
001:03;B2r[A  ]| So$3$ he will$1$ spare him foure*and*twenty yeares, 
001:03;B2r[A  ]| Letting him live in$4$ all voluptuousnesse, 
001:03;B2r[A  ]| Having thee <reg orig="euer">ever</reg> to$9$ attend on$4$ me, 
001:03;B2r[A  ]| To$9$ give me <reg orig="whatsoeuer">whatsoever</reg> I shall aske; 
001:03;B2r[A  ]| To$9$ tell me <reg orig="whatsoeuer">whatsoever</reg> I demand:  
001:03;B2v[A  ]| To$9$ slay mine enemies, and to$9$ aid my friends, 
001:03;B2v[A  ]| And <reg orig="alwaies">always</reg> be obedient to$4$ my will$0$.  
001:03;B2v[A  ]| Go, and returne to$4$ mighty Lucifer, 
001:03;B2v[A  ]| And meet me in$4$ my Study, at Midnight, 
001:03;B2v[A  ]| And then resolue me of thy Maisters mind.  
001:03;B2v[F  ]| I will$1$ Faustus.  
001:03;B2v['  ]| Exit. 
001:03;B2v[A  ]| Had I as many soules, as there be Starres, 
001:03;B2v[A  ]| I would give them all for$4$ Mephostophilis.  
001:03;B2v[A  ]| By$4$ him, I will$1$ be great emperour of the world, 
001:03;B2v[A  ]| And make a bridge, through the mouing Aire, 
001:03;B2v[A  ]| To$9$ passe the Ocean:  with a band of men 
001:03;B2v[A  ]| I will$1$ ioyne the Hils that$6#1$ bind the Affrick shore, 
001:03;B2v[A  ]| And make that$6#2$ Country, continent to$4$ Spaine, 
001:03;B2v[A  ]| And both contributary to$4$ my Crowne.  
001:03;B2v[A  ]| The Emperour shall not live, but by$4$ my leaue, 
001:03;B2v[A  ]| Nor any Potentate of Germany.  
001:03;B2v[A  ]| Now that$3$ I have obtain'd what I desir'd 
001:03;B2v[A  ]| I will$1$ live in$4$ speculation of this Art&H0; 
001:03;B2v[A  ]| Till Mephostophilis returne again.  
001:03;B2v['  ]| Exit. 
001:04;B2v['  ]| Enter Wagner and the Clowne. 
001:04;B2v[B  ]| Come hither sirra boy.  
001:04;B2v[G  ]| Boy?  O disgrace to$4$ my person:  Zounds boy in$4$ your 
001:04;B2v[G  ]| face, you have seene many boyes with beards I am sure.  
001:04;B2v[B  ]| Sirra, hast thou no$2$ commings In$5$?  
001:04;B2v[G  ]| Yes, and goings out too, you may see sir.  
001:04;B2v[B  ]| Alas poore slaue, see how pouerty iests in$4$ his nakednesse, 
001:04;B2v[B  ]| I know the Villaine is out of seruice, and so$5#1$ hungry, 
001:04;B2v[B  ]| that$3$ I know he would give his soule to$4$ the deuill, for$4$ a shoulder 
001:04;B2v[B  ]| of Mutton, though it were bloud raw.  
001:04;B2v[G  ]| Not so$3$ neither; I had need to$9$ have it well rosted, 
001:04;B2v[G  ]| and good sauce to$4$ it, if I pay so$5#1$ deere, I can tell you.  
001:04;B2v[B  ]| Sirra, wilt thou be my man and waite on$4$ me?  and 
001:04;B2v[B  ]| I will$1$ make thee go, like$4$ <foreign>7Qui 7mihi 7discipulus.</foreign>
001:04;B2v[G  ]| What, in$4$ Verse?  
001:04;B2v[B  ]| No$7$ slaue, in$4$ beaten silke, and staues-aker.  
001:04;B2v[G  ]| Staues-aker?  that$6#2$ is good to$9$ kill Vermine:  then belike 
001:04;B3r[G  ]| if I serue you, I shall be lousy.  
001:04;B3r[B  ]| Why so$5#2$ thou shalt be, whether thou dost it or no$5$:  
001:04;B3r[B  ]| for$3$ sirra, if thou dost not presently bind thyself to$4$ me for$4$ 
001:04;B3r[B  ]| seuen yeares, I will$1$ turne all the lice about thee into Familiars, 
001:04;B3r[B  ]| and make them tare thee in$4$ peeces.  
001:04;B3r[G  ]| Nay sir, you may saue yourself a labour, for$3$ they 
001:04;B3r[G  ]| are as familiar with me, as if they payd for$4$ their meate and 
001:04;B3r[G  ]| drinke, I can tell you.  
001:04;B3r[B  ]| Well sirra, leaue your iesting, and take these Guilders.  
001:04;B3r[G  ]| Yes marry sir, and I thanke you too.  
001:04;B3r[B  ]| So$3$, now thou art to$9$ be at an howres warning, 
001:04;B3r[B  ]| <reg orig="whensoeuer">whensoever</reg>, and <reg orig="wheresoeuer">wheresoever</reg> the deuill shall fetch thee.  
001:04;B3r[G  ]| Here, take your Guilders I will$1$ none of them.  
001:04;B3r[B  ]| Not I, thou art Prest, prepare thyself, for$3$ I will$1$ 
001:04;B3r[B  ]| presently raise up$5$ two deuils to$9$ carry thee away:  Banio, 
001:04;B3r[B  ]| Belcher.  
